scenario,spx_ret,idx,expiry,strike,type,qty,tenor,fwd,fwd_shocked,vol,vol_source,vol_shocked,base_price,price_vol_fixed,price_vol_shocked,pnl_vol_fixed,pnl_vol_shocked
-5%,-0.05,2,2026-12-16,100,C,-50,89,19.131337761904764,24.537228536842733,1.2929690937260165,from premium,1.5678568398724915,0.03999999868452922,0.1466673333665445,0.49329617479553817,-5.333366734100764,-22.664808805550447
-5%,-0.05,3,2026-11-18,16,P,-100,61,18.696715095238087,25.21545955672829,0.7323679843237623,from premium,1.0579279678539433,0.9799999931406893,0.16615887230088333,0.6411009937287477,81.3841120839806,33.88989994119416
+5%,0.05,0,2026-10-21,20,C,100,33,17.84074655844156,15.135296286416985,0.9582562711862846,from premium,0.8549451969721482,1.2499999939728312,0.439873109132014,0.3138060886244693,-81.01268848408172,-93.61939053483619
+5%,0.05,1,2026-10-21,30,C,-200,33,17.84074655844156,15.135296286416985,1.020199490354396,from premium,0.9168884161402596,0.12999999952276503,0.028911016908544942,0.012319139893485551,20.21779652284402,23.536171925855896
+5%,0.05,2,2026-12-16,100,C,-50,89,19.131337761904764,17.37657594884246,1.2929690937260165,from premium,1.2385658179035324,0.03999999868452922,0.023380618578843868,0.014995985839092712,0.8309690052842676,1.2502006422718255
+5%,0.05,3,2026-11-18,16,P,-100,61,18.696715095238087,16.517857407253913,0.7323679843237623,from premium,0.6573982513244457,0.9799999931406893,1.675464218538103,1.4812303965272475,-69.54642253974137,-50.12304033865582
+10%,0.1,0,2026-10-21,20,C,100,33,17.84074655844156,12.42984601439241,0.9582562711862846,from premium,0.7516341227580119,1.2499999939728312,0.09253190914610208,0.022565540041062728,-115.74680848267292,-122.74344539317686
+10%,0.1,1,2026-10-21,30,C,-200,33,17.84074655844156,12.42984601439241,1.020199490354396,from premium,0.8135773419261232,0.12999999952276503,0.0034808318557046796,0.00018156009898740995,25.303833533412067,25.963687884755526
+10%,0.1,2,2026-12-16,100,C,-50,89,19.131337761904764,15.621814135780163,1.2929690937260165,from premium,1.184162542081048,0.03999999868452922,0.012614061734791706,0.004480708639044954,1.3692968474868756,1.7759645022742132
+10%,0.1,3,2026-11-18,16,P,-100,61,18.696715095238087,14.33899971926974,0.7323679843237623,from premium,0.5824285183251292,0.9799999931406893,2.7358740312244256,2.400715472695284,-175.58740380837364,-142.0715479554595
+15%,0.15,0,2026-10-21,20,C,100,33,17.84074655844156,9.724395742367836,0.9582562711862846,from premium,0.6483230485438753,1.2499999939728312,0.007890032294759432,7.019314984093042e-05,-124.21099616780718,-124.99298008229903
+15%,0.15,1,2026-10-21,30,C,-200,33,17.84074655844156,9.724395742367836,1.020199490354396,from premium,0.7102662677119869,0.12999999952276503,0.00015009094126572066,4.2690761420105923e-08,25.969981716299863,25.99999136640072
+15%,0.15,2,2026-12-16,100,C,-50,89,19.131337761904764,13.86705232271786,1.2929690937260165,from premium,1.1297592662585638,0.03999999868452922,0.006142779025190519,0.0009848000376850672,1.6928609829669352,1.9507599323422078
+15%,0.15,3,2026-11-18,16,P,-100,61,18.696715095238087,12.160142031285567,0.7323679843237623,from premium,0.5074587853258128,0.9799999931406893,4.215596912136201,3.9384485299112253,-323.5596918995512,-295.8448536770536
+20%,0.2,0,2026-10-21,20,C,100,33,17.84074655844156,9.0,0.9582562711862846,from premium,0.545011974329739,1.2499999939728312,0.0031982550287785023,2.293891067343962e-07,-124.68017389440527,-124.99997645837244
+20%,0.2,1,2026-10-21,30,C,-200,33,17.84074655844156,9.0,1.020199490354396,from premium,0.6069551934978504,0.12999999952276503,4.941566789823473e-05,9.068873957811622e-12,25.99011677097336,25.99999990273923
+20%,0.2,2,2026-12-16,100,C,-50,89,19.131337761904764,12.11229050965556,1.2929690937260165,from premium,1.0753559904360794,0.03999999868452922,0.002614209755867337,0.0001412156154408764,1.869289446433094,1.992939153454417
+20%,0.2,3,2026-11-18,16,P,-100,61,18.696715095238087,9.981284343301393,0.7323679843237623,from premium,0.43248905232649626,0.9799999931406893,6.070255125480242,5.981210065416864,-509.0255132339553,-500.1210072276175
+25%,0.25,0,2026-10-21,20,C,100,33,17.84074655844156,9.0,0.9582562711862846,from premium,0.4417009001156026,1.2499999939728312,0.0031982550287785023,2.563216024132091e-10,-124.68017389440527,-124.99999937165096
+25%,0.25,1,2026-10-21,30,C,-200,33,17.84074655844156,9.0,1.020199490354396,from premium,0.503644119283714,0.12999999952276503,4.941566789823473e-05,2.808626401752086e-16,25.99011677097336,25.99999990455295
+25%,0.25,2,2026-12-16,100,C,-50,89,19.131337761904764,10.35752869659326,1.2929690937260165,from premium,1.0209527146135953,0.03999999868452922,0.0009256205951292221,1.0957067903785797e-05,1.95371890447,1.9994520808312717
+25%,0.25,3,2026-11-18,16,P,-100,61,18.696715095238087,9.0,0.7323679843237623,from premium,0.3575193193271798,0.9799999931406893,6.990315698213588,6.9533779557886,-601.0315705072899,-597.3377962647911
+30%,0.3,0,2026-10-21,20,C,100,33,17.84074655844156,9.0,0.9582562711862846,from premium,0.33838982590146616,1.2499999939728312,0.0031982550287785023,3.552453027193082e-16,-124.68017389440527,-124.99999939728308
+30%,0.3,1,2026-10-21,30,C,-200,33,17.84074655844156,9.0,1.020199490354396,from premium,0.40033304506957756,0.12999999952276503,4.941566789823473e-05,1.441520388175344e-24,25.99011677097336,25.999999904553007
+30%,0.3,2,2026-12-16,100,C,-50,89,19.131337761904764,9.0,1.2929690937260165,from premium,0.9665494387911111,0.03999999868452922,0.0003480525456155299,5.788405645950098e-07,1.9825973069456846,1.9999709921982312
+30%,0.3,3,2026-11-18,16,P,-100,61,18.696715095238087,9.0,0.7323679843237623,from premium,0.28254958632786337,0.9799999931406893,6.990315698213588,6.9533616218855965,-601.0315705072899,-597.3361628744907
+35%,0.35,0,2026-10-21,20,C,100,33,17.84074655844156,9.0,0.9582562711862846,from premium,0.23507875168732983,1.2499999939728312,0.0031982550287785023,5.602495532626271e-31,-124.68017389440527,-124.99999939728312
+35%,0.35,1,2026-10-21,30,C,-200,33,17.84074655844156,9.0,1.020199490354396,from premium,0.29702197085544124,0.12999999952276503,4.941566789823473e-05,1.086626957492928e-42,25.99011677097336,25.999999904553007
+35%,0.35,2,2026-12-16,100,C,-50,89,19.131337761904764,9.0,1.2929690937260165,from premium,0.9121461629686269,0.03999999868452922,0.0003480525456155299,1.0323466139901639e-07,1.9825973069456846,1.9999947724933913
+35%,0.35,3,2026-11-18,16,P,-100,61,18.696715095238087,9.0,0.7323679843237623,from premium,0.2075798533285469,0.9799999931406893,6.990315698213588,6.953361540588986,-601.0315705072899,-597.3361547448297
+40%,0.4,0,2026-10-21,20,C,100,33,17.84074655844156,9.0,0.9582562711862846,from premium,0.2,1.2499999939728312,0.0031982550287785023,9.271477897038773e-42,-124.68017389440527,-124.99999939728312
+40%,0.4,1,2026-10-21,30,C,-200,33,17.84074655844156,9.0,1.020199490354396,from premium,0.2,0.12999999952276503,4.941566789823473e-05,8.917694498776976e-91,25.99011677097336,25.999999904553007
+40%,0.4,2,2026-12-16,100,C,-50,89,19.131337761904764,9.0,1.2929690937260165,from premium,0.8577428871461426,0.03999999868452922,0.0003480525456155299,1.339573626585559e-08,1.9825973069456846,1.9999992644396478
+40%,0.4,3,2026-11-18,16,P,-100,61,18.696715095238087,9.0,0.7323679843237623,from premium,0.2,0.9799999931406893,6.990315698213588,6.953361540588257,-601.0315705072899,-597.3361547447568
